evaluation_split,noise_case,feature_case,model_name,source_name,count,mae_k,bias_k,rmse_k
synthetic_stress_test,baseline_nedt,drop_54_4,linear_regression,synthetic_profiles,3,2.141994647406326,-1.646030756731496,2.4459620103161104
synthetic_stress_test,baseline_nedt,drop_54_4,mean_baseline,synthetic_profiles,3,11.668567327216826,-0.3760723520208747,12.68298725331405
synthetic_stress_test,baseline_nedt,drop_54_4,ridge_regression,synthetic_profiles,3,1.601536667843997,-1.4135578938227316,1.9081622648808778
synthetic_stress_test,baseline_nedt,full_3channel,linear_regression,synthetic_profiles,3,0.691568583359583,0.3453050361291427,0.7383348128667128
synthetic_stress_test,baseline_nedt,full_3channel,mean_baseline,synthetic_profiles,3,11.668567327216826,-0.3760723520208747,12.68298725331405
synthetic_stress_test,baseline_nedt,full_3channel,ridge_regression,synthetic_profiles,3,0.4912753262117917,-0.02929615132281545,0.5383933302219199
synthetic_stress_test,degraded_nedt,drop_50_3,linear_regression,synthetic_profiles,3,2.236020795511687,-0.9588471659050507,2.527359040611032
synthetic_stress_test,degraded_nedt,drop_50_3,mean_baseline,synthetic_profiles,3,11.668567327216826,-0.3760723520208747,12.68298725331405
synthetic_stress_test,degraded_nedt,drop_50_3,ridge_regression,synthetic_profiles,3,2.8531268183364396,-1.4874277764709707,3.1579494698211583
synthetic_stress_test,degraded_nedt,drop_52_8,linear_regression,synthetic_profiles,3,1.91253304350181,0.7319256002698656,2.04765232446897
synthetic_stress_test,degraded_nedt,drop_52_8,mean_baseline,synthetic_profiles,3,11.668567327216826,-0.3760723520208747,12.68298725331405
synthetic_stress_test,degraded_nedt,drop_52_8,ridge_regression,synthetic_profiles,3,0.9446745507824895,0.05672258391340771,1.1015081758994498
synthetic_stress_test,degraded_nedt,drop_54_4,linear_regression,synthetic_profiles,3,0.9416827582452356,-0.8611385397886693,1.1388483158476732
synthetic_stress_test,degraded_nedt,drop_54_4,mean_baseline,synthetic_profiles,3,11.668567327216826,-0.3760723520208747,12.68298725331405
synthetic_stress_test,degraded_nedt,drop_54_4,ridge_regression,synthetic_profiles,3,1.2212822862226176,-0.9758461391964678,1.417327620631553
synthetic_stress_test,degraded_nedt,full_3channel,linear_regression,synthetic_profiles,3,0.8295487180347246,0.42908882967164647,0.8550719942826556
synthetic_stress_test,degraded_nedt,full_3channel,mean_baseline,synthetic_profiles,3,11.668567327216826,-0.3760723520208747,12.68298725331405
synthetic_stress_test,degraded_nedt,full_3channel,ridge_regression,synthetic_profiles,3,0.13623373478287704,-0.08302818664689464,0.14372057066000135
