profile_index,profile_id,valid_time,latitude,longitude,region_name,source_name,climate_regime,surface_type,season_label,sample_group,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,lower_layer_mean_temperature_k,upper_layer_mean_temperature_k,mean_h2o_vmr,lower_layer_mean_h2o_vmr,upper_layer_mean_h2o_vmr,min_h2o_vmr,max_h2o_vmr,evaluation_split,profile_class,noise_case,feature_case,model_name,target_name,y_true_k,y_pred_k,residual_k,tb_obs_50_3,tb_obs_52_8,tb_obs_54_4,tb_obs_degraded_50_3,tb_obs_degraded_52_8,tb_obs_degraded_54_4
20,winter_midlatitude_maritime_sample_t01_loc00,2020-01-01T06:00:00.000000000,58.0,10.0,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc00,278.3331298828125,193.97393798828125,278.947509765625,239.43668262378588,276.3342793782552,210.45077090793183,0.0008975498519775,0.0025107505330951,1.3624864301923666e-05,4.659125315392628e-06,0.0070598327594999,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.3342793782552,277.28047383945517,0.9461944611999797,271.2747593103972,260.9106369920333,231.33403865214632,,,
21,winter_midlatitude_maritime_sample_t01_loc01,2020-01-01T06:00:00.000000000,58.0,10.25,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc01,278.2921142578125,193.91827392578125,279.187744140625,239.4287645494616,276.41761271158856,210.40774790445963,0.0008994273451739,0.0025133217824552,1.372495282794244e-05,4.657627940092659e-06,0.0071812655763305,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.41761271158856,277.2801251644203,0.8625124528317656,271.3631962656531,260.1376104484364,231.4752520004148,,,
22,winter_midlatitude_maritime_sample_t01_loc02,2020-01-01T06:00:00.000000000,57.75,10.0,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc02,278.3878173828125,193.86456298828125,278.7308349609375,239.56384689743453,276.22522989908856,210.79039764404297,0.0009417195798658,0.0026406664031718,1.3623523133811486e-05,4.6639449921583385e-06,0.007113972523732,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.22522989908856,277.2809301134266,1.05570021433806,270.9533637184227,260.2233895079728,231.37005961677195,,,
23,winter_midlatitude_maritime_sample_t01_loc03,2020-01-01T06:00:00.000000000,57.75,10.25,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc03,278.3096923828125,193.70635986328125,278.8382568359375,239.5573540764886,276.27698771158856,210.76788245307077,0.0009432298488364,0.0026440587664591,1.3513441089383344e-05,4.662354030892676e-06,0.0071967360364143,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.27698771158856,277.28071355354166,1.0037258419530986,271.1390296575572,260.2389880108635,232.2383329336087,,,
24,winter_midlatitude_maritime_sample_t01_loc04,2020-01-01T06:00:00.000000000,58.0,10.5,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc04,278.2569580078125,193.75811767578125,279.381103515625,239.4221397606102,276.47278849283856,210.3822487725152,0.0009012827215389,0.002515227567489,1.3892764738177536e-05,4.6561773577734736e-06,0.0073143212199916,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.47278849283856,277.2798943034109,0.8071058105723523,271.32026575551583,260.1163166318328,230.5014215381542,,,
25,winter_midlatitude_maritime_sample_t01_loc05,2020-01-01T06:00:00.000000000,58.0,11.0,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc00,278.2315673828125,193.14093017578125,279.410400390625,239.37259900892104,276.3645528157552,210.3908750745985,0.0009361367567872,0.0026232261554419,1.413481091596932e-05,4.65140447403205e-06,0.0074984692613519,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.3645528157552,277.28034717235266,0.9157943565974733,270.61166028459763,258.98316336980565,231.11089874035096,,,
26,winter_midlatitude_maritime_sample_t01_loc06,2020-01-01T06:00:00.000000000,58.0,10.75,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc01,278.2432861328125,193.49151611328125,279.468994140625,239.4072537808805,276.4670918782552,210.3767149183485,0.0009199045524388,0.002572706664595,1.402746271121262e-05,4.653790915899219e-06,0.0074102586575754,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.4670918782552,277.27991813861837,0.8128262603631811,271.4127150295487,260.4385979519961,232.89111742844165,,,
27,winter_midlatitude_maritime_sample_t01_loc07,2020-01-01T06:00:00.000000000,57.75,11.0,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc02,278.2432861328125,192.83624267578125,278.980712890625,239.5244676744616,276.2392272949219,210.78372446695963,0.0009623207564496,0.0027055967820227,1.3425432519618515e-05,4.65570942799365e-06,0.0074063899919907,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.2392272949219,277.2808715469169,1.0416442519950238,270.8793713974427,259.4193044678131,231.6072125096753,,,
28,winter_midlatitude_maritime_sample_t01_loc08,2020-01-01T06:00:00.000000000,57.75,10.75,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc03,278.2237548828125,193.17999267578125,278.965087890625,239.54632155959672,276.3114929199219,210.7640847100152,0.000953372013006,0.0026760460423719,1.3409989082231988e-05,4.658236248807935e-06,0.007342172850364,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.3114929199219,277.28056918028506,0.9690762603631811,271.4682158974918,259.5571181475128,230.73134160883296,,,
29,winter_midlatitude_maritime_sample_t01_loc09,2020-01-01T06:00:00.000000000,57.5,11.0,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc04,277.9991455078125,192.93878173828125,278.8109130859375,239.6708992622994,276.1210632324219,211.17169104682077,0.0009823215255351,0.0027605730329713,1.362882231016992e-05,4.656598494575548e-06,0.0076044894889634,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,276.1210632324219,277.2813659572202,1.1603027247983277,271.1927257711469,259.3850904472642,231.08327163188352,,,
