evaluation_split,noise_case,feature_case,model_name,source_name,count,mae_k,bias_k,rmse_k,lower_layer_temperature_std,lower_layer_temperature_range,mean_baseline_rmse_k,target_std_k,target_range_k,normalized_rmse,rmse_reduction_vs_baseline_pct
era5_leave_one_profile_out,baseline_nedt,full_3channel,linear_regression,high_latitude_continental_2020,60,1.45167799676807,0.6600948437089244,1.7466628271278886,1.9301439415397743,6.587151845296262,22.461934186294627,1.9301439415397743,6.587151845296262,0.9049391548147888,92.22389838452277
era5_leave_one_profile_out,baseline_nedt,full_3channel,linear_regression,lower_latitude_maritime_2020,100,0.6744414859187299,0.324392009387131,0.862790796649819,0.43612274359400777,2.0858866373698106,14.178790901112688,0.43612274359400777,2.0858866373698106,1.9783210330644942,93.91491980756899
era5_leave_one_profile_out,baseline_nedt,full_3channel,linear_regression,winter_midlatitude_maritime_sample,80,1.2696518010692153,-0.9018130253562369,1.5209307806057777,1.3739092584337618,4.448081970214787,1.664629773381927,1.3739092584337618,4.448081970214787,1.1070096305629518,8.63248964267922
era5_leave_one_profile_out,baseline_nedt,full_3channel,mean_baseline,high_latitude_continental_2020,60,22.378154329009917,22.378154329009917,22.461934186294627,1.9301439415397743,6.587151845296262,22.461934186294627,1.9301439415397743,6.587151845296262,11.63743993537373,0.0
era5_leave_one_profile_out,baseline_nedt,full_3channel,mean_baseline,lower_latitude_maritime_2020,100,14.172025733213582,-14.172025733213582,14.178790901112688,0.43612274359400777,2.0858866373698106,14.178790901112688,0.43612274359400777,2.0858866373698106,32.51101005250922,0.0
era5_leave_one_profile_out,baseline_nedt,full_3channel,mean_baseline,winter_midlatitude_maritime_sample,80,1.2157765017393616,0.9314164197594295,1.664629773381927,1.3739092584337618,4.448081970214787,1.664629773381927,1.3739092584337618,4.448081970214787,1.2116009577514477,0.0
era5_leave_one_profile_out,baseline_nedt,full_3channel,ridge_regression,high_latitude_continental_2020,60,1.5145733170431275,0.9530699765874265,1.804899285030749,1.9301439415397743,6.587151845296262,22.461934186294627,1.9301439415397743,6.587151845296262,0.935111235067209,91.964631050642
era5_leave_one_profile_out,baseline_nedt,full_3channel,ridge_regression,lower_latitude_maritime_2020,100,0.559802391387027,0.44286279044284926,0.6809331605654025,0.43612274359400777,2.0858866373698106,14.178790901112688,0.43612274359400777,2.0858866373698106,1.561333754240737,95.19752307996893
era5_leave_one_profile_out,baseline_nedt,full_3channel,ridge_regression,winter_midlatitude_maritime_sample,80,1.5018333611086938,-1.2686068511046422,1.722046167006323,1.3739092584337618,4.448081970214787,1.664629773381927,1.3739092584337618,4.448081970214787,1.2533914859627866,-3.449199007641579
era5_leave_one_profile_out,degraded_nedt,drop_50_3,linear_regression,high_latitude_continental_2020,60,1.6861646636171073,1.2545370026842653,2.0914118659590306,1.9301439415397743,6.587151845296262,22.461934186294627,1.9301439415397743,6.587151845296262,1.083552278640216,90.68908381347174
era5_leave_one_profile_out,degraded_nedt,drop_50_3,linear_regression,lower_latitude_maritime_2020,100,1.0947967579894948,0.540188574777556,1.4205849644403377,0.43612274359400777,2.0858866373698106,14.178790901112688,0.43612274359400777,2.0858866373698106,3.2573053923616935,89.98091604320891
era5_leave_one_profile_out,degraded_nedt,drop_50_3,linear_regression,winter_midlatitude_maritime_sample,80,1.9076387934236643,-1.6091946536291366,2.2573282602546354,1.3739092584337618,4.448081970214787,1.664629773381927,1.3739092584337618,4.448081970214787,1.642996614512926,-35.60542388164541
era5_leave_one_profile_out,degraded_nedt,drop_50_3,mean_baseline,high_latitude_continental_2020,60,22.378154329009917,22.378154329009917,22.461934186294627,1.9301439415397743,6.587151845296262,22.461934186294627,1.9301439415397743,6.587151845296262,11.63743993537373,0.0
era5_leave_one_profile_out,degraded_nedt,drop_50_3,mean_baseline,lower_latitude_maritime_2020,100,14.172025733213582,-14.172025733213582,14.178790901112688,0.43612274359400777,2.0858866373698106,14.178790901112688,0.43612274359400777,2.0858866373698106,32.51101005250922,0.0
era5_leave_one_profile_out,degraded_nedt,drop_50_3,mean_baseline,winter_midlatitude_maritime_sample,80,1.2157765017393616,0.9314164197594295,1.664629773381927,1.3739092584337618,4.448081970214787,1.664629773381927,1.3739092584337618,4.448081970214787,1.2116009577514477,0.0
era5_leave_one_profile_out,degraded_nedt,drop_50_3,ridge_regression,high_latitude_continental_2020,60,1.7238911554393126,1.4882409959036607,2.1258694962031854,1.9301439415397743,6.587151845296262,22.461934186294627,1.9301439415397743,6.587151845296262,1.1014046416182157,90.53567925819894
era5_leave_one_profile_out,degraded_nedt,drop_50_3,ridge_regression,lower_latitude_maritime_2020,100,1.0367021779096433,0.5821908709464583,1.3239756188622098,0.43612274359400777,2.0858866373698106,14.178790901112688,0.43612274359400777,2.0858866373698106,3.0357866869119663,90.6622812333151
era5_leave_one_profile_out,degraded_nedt,drop_50_3,ridge_regression,winter_midlatitude_maritime_sample,80,2.0252326932216205,-1.836125700520877,2.3589986036086645,1.3739092584337618,4.448081970214787,1.664629773381927,1.3739092584337618,4.448081970214787,1.7169973847456939,-41.7131089044521
era5_leave_one_profile_out,degraded_nedt,drop_52_8,linear_regression,high_latitude_continental_2020,60,1.8832799384807848,1.0855169854160607,2.213668251549527,1.9301439415397743,6.587151845296262,22.461934186294627,1.9301439415397743,6.587151845296262,1.1468928321395404,90.14480127494889
era5_leave_one_profile_out,degraded_nedt,drop_52_8,linear_regression,lower_latitude_maritime_2020,100,0.6904726874551932,0.5370447944761042,0.8895232056560136,0.43612274359400777,2.0858866373698106,14.178790901112688,0.43612274359400777,2.0858866373698106,2.039616641694986,93.72638180603813
era5_leave_one_profile_out,degraded_nedt,drop_52_8,linear_regression,winter_midlatitude_maritime_sample,80,1.7968118206337942,-1.4827366235647212,2.0477376839382058,1.3739092584337618,4.448081970214787,1.664629773381927,1.3739092584337618,4.448081970214787,1.4904460912306534,-23.01460160585387
era5_leave_one_profile_out,degraded_nedt,drop_52_8,mean_baseline,high_latitude_continental_2020,60,22.378154329009917,22.378154329009917,22.461934186294627,1.9301439415397743,6.587151845296262,22.461934186294627,1.9301439415397743,6.587151845296262,11.63743993537373,0.0
era5_leave_one_profile_out,degraded_nedt,drop_52_8,mean_baseline,lower_latitude_maritime_2020,100,14.172025733213582,-14.172025733213582,14.178790901112688,0.43612274359400777,2.0858866373698106,14.178790901112688,0.43612274359400777,2.0858866373698106,32.51101005250922,0.0
