profile_index,profile_id,valid_time,latitude,longitude,region_name,source_name,climate_regime,surface_type,season_label,sample_group,frequency_ghz,tb_base_k,dTb_lower_k,dTb_upper_k,nedt_k,lower_ratio,upper_ratio,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,lower_layer_mean_temperature_k,upper_layer_mean_temperature_k,mean_h2o_vmr,lower_layer_mean_h2o_vmr,upper_layer_mean_h2o_vmr,min_h2o_vmr,max_h2o_vmr
8,winter_midlatitude_maritime_sample_t00_loc08,2020-01-01T00:00:00.000000000,57.75,10.75,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc03,52.8,259.51256362236967,0.25229894737191216,0.18528888762375573,0.5,0.5045978947438243,0.37057777524751145,278.2900390625,195.42062377929688,278.2900390625,238.72580327214422,274.22271728515625,210.80281151665582,0.0013487938845508072,0.003262054981769603,1.1892884546418055e-05,4.650449604831054e-06,0.0074963049878814
8,winter_midlatitude_maritime_sample_t00_loc08,2020-01-01T00:00:00.000000000,57.75,10.75,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc03,54.4,230.9590142970308,0.10109487460098876,0.49057037527401803,0.7,0.14442124942998394,0.7008148218200259,278.2900390625,195.42062377929688,278.2900390625,238.72580327214422,274.22271728515625,210.80281151665582,0.0013487938845508072,0.003262054981769603,1.1892884546418055e-05,4.650449604831054e-06,0.0074963049878814
9,winter_midlatitude_maritime_sample_t00_loc09,2020-01-01T00:00:00.000000000,57.5,11.0,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc04,50.3,270.9305981660374,0.1491536985798234,0.09152166649511173,0.3,0.49717899526607806,0.30507222165037245,278.3564453125,195.15499877929688,278.3564453125,238.84056256268477,273.77854410807294,211.29993608262805,0.0013597884037873102,0.003336991608529939,1.0707339763102226e-05,4.649747710166422e-06,0.007182196212816303
9,winter_midlatitude_maritime_sample_t00_loc09,2020-01-01T00:00:00.000000000,57.5,11.0,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc04,52.8,259.47622929030763,0.2532019337435827,0.18508133249616776,0.5,0.5064038674871654,0.3701626649923355,278.3564453125,195.15499877929688,278.3564453125,238.84056256268477,273.77854410807294,211.29993608262805,0.0013597884037873102,0.003336991608529939,1.0707339763102226e-05,4.649747710166422e-06,0.007182196212816303
9,winter_midlatitude_maritime_sample_t00_loc09,2020-01-01T00:00:00.000000000,57.5,11.0,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc04,54.4,231.02097555131044,0.10112762971814959,0.4906806170811251,0.7,0.14446804245449943,0.700972310115893,278.3564453125,195.15499877929688,278.3564453125,238.84056256268477,273.77854410807294,211.29993608262805,0.0013597884037873102,0.003336991608529939,1.0707339763102226e-05,4.649747710166422e-06,0.007182196212816303
10,winter_midlatitude_maritime_sample_t00_loc10,2020-01-01T00:00:00.000000000,57.0,10.0,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc00,50.3,270.6441702550902,0.14741838346259328,0.09123702370521869,0.3,0.4913946115419776,0.304123412350729,277.7451171875,195.64035034179688,277.7451171875,239.19035628035263,274.11968994140625,211.65974511040582,0.0013137677672254411,0.003301088402545166,1.1503864472581015e-05,4.651572636295742e-06,0.007192251989745268
10,winter_midlatitude_maritime_sample_t00_loc10,2020-01-01T00:00:00.000000000,57.0,10.0,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc00,52.8,259.5407036544562,0.25202573556759944,0.18500325491845615,0.5,0.5040514711351989,0.3700065098369123,277.7451171875,195.64035034179688,277.7451171875,239.19035628035263,274.11968994140625,211.65974511040582,0.0013137677672254411,0.003301088402545166,1.1503864472581015e-05,4.651572636295742e-06,0.007192251989745268
10,winter_midlatitude_maritime_sample_t00_loc10,2020-01-01T00:00:00.000000000,57.0,10.0,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc00,54.4,231.24059399086295,0.10086301078783322,0.49090323991183027,0.7,0.14409001541119032,0.7012903427311862,277.7451171875,195.64035034179688,277.7451171875,239.19035628035263,274.11968994140625,211.65974511040582,0.0013137677672254411,0.003301088402545166,1.1503864472581015e-05,4.651572636295742e-06,0.007192251989745268
11,winter_midlatitude_maritime_sample_t00_loc11,2020-01-01T00:00:00.000000000,57.0,10.25,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc01,50.3,270.6496893905928,0.14764704929518757,0.0911946714146552,0.3,0.49215683098395857,0.3039822380488507,277.7880859375,195.55734252929688,277.7880859375,239.17940294420396,274.01291910807294,211.72577158610025,0.001317006964767386,0.0032908354291790887,1.1012432238597943e-05,4.650168846965128e-06,0.007036788206864974
11,winter_midlatitude_maritime_sample_t00_loc11,2020-01-01T00:00:00.000000000,57.0,10.25,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc01,52.8,259.50826264321074,0.2521773498065727,0.18490829987047164,0.5,0.5043546996131454,0.3698165997409433,277.7880859375,195.55734252929688,277.7880859375,239.17940294420396,274.01291910807294,211.72577158610025,0.001317006964767386,0.0032908354291790887,1.1012432238597943e-05,4.650168846965128e-06,0.007036788206864974
11,winter_midlatitude_maritime_sample_t00_loc11,2020-01-01T00:00:00.000000000,57.0,10.25,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc01,54.4,231.2232557714352,0.10088513333448645,0.49088919394409913,0.7,0.14412161904926638,0.7012702770629988,277.7880859375,195.55734252929688,277.7880859375,239.17940294420396,274.01291910807294,211.72577158610025,0.001317006964767386,0.0032908354291790887,1.1012432238597943e-05,4.650168846965128e-06,0.007036788206864974
12,winter_midlatitude_maritime_sample_t00_loc12,2020-01-01T00:00:00.000000000,57.25,10.0,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc02,50.3,270.88459535213514,0.14755920788144294,0.09154367699034083,0.3,0.4918640262714765,0.3051455899678028,278.1005859375,195.71456909179688,278.1005859375,239.1277243124472,274.32395426432294,211.4419174194336,0.00133921807315679,0.003334086432145517,1.2193314219528611e-05,4.6558775902582425e-06,0.007676624572049308
12,winter_midlatitude_maritime_sample_t00_loc12,2020-01-01T00:00:00.000000000,57.25,10.0,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc02,52.8,259.6356679083699,0.2521473766488498,0.18528605932266373,0.5,0.5042947532976996,0.37057211864532746,278.1005859375,195.71456909179688,278.1005859375,239.1277243124472,274.32395426432294,211.4419174194336,0.00133921807315679,0.003334086432145517,1.2193314219528611e-05,4.6558775902582425e-06,0.007676624572049308
12,winter_midlatitude_maritime_sample_t00_loc12,2020-01-01T00:00:00.000000000,57.25,10.0,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc02,54.4,231.16013583719473,0.10094882100239033,0.49081033681335384,0.7,0.1442126014319862,0.701157624019077,278.1005859375,195.71456909179688,278.1005859375,239.1277243124472,274.32395426432294,211.4419174194336,0.00133921807315679,0.003334086432145517,1.2193314219528611e-05,4.6558775902582425e-06,0.007676624572049308
