target_name,noise_factor,setup_type,group_name,model_name,n_samples,rmse_k,mae_k,bias_k,target_std_k,normalized_rmse,rmse_reduction_vs_baseline_pct
lower_layer_mean_temperature_k,3.0,source_name,lower_latitude_maritime_2020,ridge_regression,100,0.37005212253892344,0.3066112007672854,0.0002843950201969392,0.43612274359400777,0.8485045276230989,15.998051765313193
lower_layer_mean_temperature_k,3.0,source_name,winter_midlatitude_maritime_sample,mean_baseline,80,1.3913005148696294,1.1542713149187371,-7.105427357601002e-16,1.3739092584337618,1.0126582278480991,0.0
lower_layer_mean_temperature_k,3.0,source_name,winter_midlatitude_maritime_sample,linear_regression,80,1.3603786247795244,1.1143915462878389,0.0015876985591837922,1.3739092584337618,0.9901517268544634,2.2225169731215466
lower_layer_mean_temperature_k,3.0,source_name,winter_midlatitude_maritime_sample,ridge_regression,80,1.3596727401250999,1.1141465226725935,0.0015382786256786574,1.3739092584337618,0.9896379486336009,2.2732525724317165
lower_layer_mean_temperature_k,3.0,source_name_pooled,all_sources_pooled,mean_baseline,240,1.2997317244650368,0.9461321785001513,-6.5133084111342514e-15,14.459286213124718,0.08988906542878086,0.0
lower_layer_mean_temperature_k,3.0,source_name_pooled,all_sources_pooled,linear_regression,240,0.9885604925402448,0.7139034663149425,0.0005763552108086618,14.459286213124718,0.06836855415746089,23.941189252179605
lower_layer_mean_temperature_k,3.0,source_name_pooled,all_sources_pooled,ridge_regression,240,0.987781744910425,0.7133829683052433,0.0005381228787465867,14.459286213124718,0.06831469619944405,24.001105280630807
upper_layer_mean_temperature_k,3.0,global,all_era5,mean_baseline,240,6.697328834001193,6.314122417112401,-2.2500519965736505e-15,6.669423297192855,1.00418410041841,0.0
upper_layer_mean_temperature_k,3.0,global,all_era5,linear_regression,240,4.083481832651031,3.450391128565405,-0.007391053031003499,6.669423297192855,0.6122691049419159,39.02820163286754
upper_layer_mean_temperature_k,3.0,global,all_era5,ridge_regression,240,4.077818631357398,3.456525774085647,-0.0076236977296318285,6.669423297192855,0.6114199758581439,39.11276073745983
upper_layer_mean_temperature_k,3.0,source_name,high_latitude_continental_2020,mean_baseline,60,3.441336887472731,2.945238542287361,9.473903143468002e-16,3.3839812726815155,1.016949152542374,0.0
upper_layer_mean_temperature_k,3.0,source_name,high_latitude_continental_2020,linear_regression,60,3.262361447313313,2.684422968204689,0.0022817481094747905,3.3839812726815155,0.9640601363990915,5.200753254089429
upper_layer_mean_temperature_k,3.0,source_name,high_latitude_continental_2020,ridge_regression,60,3.254892412033075,2.6863058952128056,0.00185228643310514,3.3839812726815155,0.9618529624585811,5.417792024906287
upper_layer_mean_temperature_k,3.0,source_name,lower_latitude_maritime_2020,mean_baseline,100,0.32733466425554114,0.2681760367961877,7.105427357601002e-15,0.324061317612984,1.0101010101010155,0.0
upper_layer_mean_temperature_k,3.0,source_name,lower_latitude_maritime_2020,linear_regression,100,0.3109835936577984,0.2548105031442697,0.0006554433695191619,0.324061317612984,0.9596442918534204,4.9952151065118855
upper_layer_mean_temperature_k,3.0,source_name,lower_latitude_maritime_2020,ridge_regression,100,0.31089298072225086,0.25476095426216744,0.0006495422652054117,0.324061317612984,0.9593646752172388,5.022897153493866
upper_layer_mean_temperature_k,3.0,source_name,winter_midlatitude_maritime_sample,mean_baseline,80,0.7218569347110927,0.5922586304225949,2.5224267119483555e-14,0.7128337230272038,1.0126582278481016,0.0
upper_layer_mean_temperature_k,3.0,source_name,winter_midlatitude_maritime_sample,linear_regression,80,0.7228155648461152,0.6044405061118805,0.004729252528749228,0.7128337230272038,1.0140030437624659,-0.1328005715434788
upper_layer_mean_temperature_k,3.0,source_name,winter_midlatitude_maritime_sample,ridge_regression,80,0.7224511632957316,0.6038039597081368,0.004649011561705052,0.7128337230272038,1.0134918424281123,-0.08231943977605738
