profile_index,profile_id,valid_time,latitude,longitude,region_name,sample_group,frequency_ghz,tb_base_k,tb_humid_k,tb_dry_k,dTb_humid_k,dTb_dry_k,nedt_k,humid_ratio,dry_ratio,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,min_h2o_vmr,max_h2o_vmr
8,t01_loc00,2020-01-01T06:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,52.8,260.4460682415464,260.44186087348464,260.4502271901832,-0.004207368061770467,0.004158948636813875,0.5,0.008414736123540933,0.00831789727362775,278.3331298828125,193.97393798828125,278.947509765625,239.43668262378588,4.659125315392628e-06,0.0070598327594999484
8,t01_loc00,2020-01-01T06:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,54.4,231.3103684908179,231.30938763188394,231.31134323452503,-0.0009808589339570517,0.0009747437071325749,0.7,0.001401227048510074,0.0013924910101893928,278.3331298828125,193.97393798828125,278.947509765625,239.43668262378588,4.659125315392628e-06,0.0070598327594999484
9,t01_loc01,2020-01-01T06:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,50.3,271.4365540333757,271.4305891494122,271.44243966002466,-0.0059648839635428885,0.0058856266489328846,0.3,0.019882946545142964,0.01961875549644295,278.2921142578125,193.91827392578125,279.187744140625,239.42876454946156,4.657627940092659e-06,0.007181265576330564
9,t01_loc01,2020-01-01T06:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,52.8,260.4266159592453,260.4224406878643,260.4307450789623,-0.004175271380972845,0.004129119716992591,0.5,0.00835054276194569,0.008258239433985182,278.2921142578125,193.91827392578125,279.187744140625,239.42876454946156,4.657627940092659e-06,0.007181265576330564
9,t01_loc01,2020-01-01T06:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,54.4,231.29330670789088,231.29231326049873,231.29429408159513,-0.0009934473921475728,0.0009873737042482844,0.7,0.0014192105602108184,0.001410533863211835,278.2921142578125,193.91827392578125,279.187744140625,239.42876454946156,4.657627940092659e-06,0.007181265576330564
10,t01_loc02,2020-01-01T06:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,50.3,271.36465354444005,271.3586195796996,271.3706102222907,-0.006033964740424835,0.005956677850633696,0.3,0.020113215801416118,0.019855592835445655,278.2315673828125,193.14093017578125,279.410400390625,239.37259900892104,4.65140447403205e-06,0.007498469261351906
10,t01_loc02,2020-01-01T06:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,52.8,260.3391611252543,260.3348999699374,260.3433767015689,-0.0042611553168967475,0.004215576314607006,0.5,0.008522310633793495,0.008431152629214012,278.2315673828125,193.14093017578125,279.410400390625,239.37259900892104,4.65140447403205e-06,0.007498469261351906
10,t01_loc02,2020-01-01T06:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,54.4,231.248838687736,231.2478135431733,231.24985750092438,-0.0010251445627034173,0.0010188131883808182,0.7,0.0014644922324334533,0.0014554474119725976,278.2315673828125,193.14093017578125,279.410400390625,239.37259900892104,4.65140447403205e-06,0.007498469261351906
11,t01_loc03,2020-01-01T06:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,50.3,271.39264161685304,271.3867278223176,271.3984804210309,-0.005913794535445049,0.005838804177869861,0.3,0.0197126484514835,0.019462680592899538,278.2432861328125,193.49151611328125,279.468994140625,239.4072537808805,4.653790915899219e-06,0.007410258657575427
11,t01_loc03,2020-01-01T06:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,52.8,260.38112138554607,260.37693090873637,260.3852676350799,-0.004190476809696975,0.004146249533846458,0.5,0.00838095361939395,0.008292499067692916,278.2432861328125,193.49151611328125,279.468994140625,239.4072537808805,4.653790915899219e-06,0.007410258657575427
11,t01_loc03,2020-01-01T06:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,54.4,231.26499408242267,231.26397679625805,231.26600520510766,-0.001017286164625375,0.0010111226849858213,0.7,0.0014532659494648215,0.0014444609785511733,278.2432861328125,193.49151611328125,279.468994140625,239.4072537808805,4.653790915899219e-06,0.007410258657575427
12,t01_loc04,2020-01-01T06:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,50.3,270.88898480666575,270.8826538459908,270.895229120951,-0.00633096067497263,0.006244314285254404,0.3,0.02110320224990877,0.020814380950848015,277.5225830078125,194.73858642578125,278.6448974609375,239.92348583324537,4.662213651957621e-06,0.007232319219456375
